beasiswa,prodi,penerima
Beasiswa PemerintahKabupaten Tabalong 2025,Elins,0
Beasiswa PemerintahKabupaten Tabalong 2025,IlKomp,0
Beasiswa PemerintahKabupaten Tabalong 2025,Kimia,0
Beasiswa PemerintahKabupaten Tabalong 2025,Matemat,1
Beasiswa PemerintahKabupaten Tabalong 2025,Statistika,0
Beasiswa PemerintahKabupaten Tabalong 2025,Aktuaria,0
Bakti BCA 2025 Jalur Prestasi Akademis,Fisika,0
Bakti BCA 2025 Jalur Prestasi Akademis,Geofisika,1
Bakti BCA 2025 Jalur Prestasi Akademis,Elins,0
Bakti BCA 2025 Jalur Prestasi Akademis,IlKomp,4
Bakti BCA 2025 Jalur Prestasi Akademis,Kimia,0
Bakti BCA 2025 Jalur Prestasi Akademis,Matemat,0
Bakti BCA 2025 Jalur Prestasi Akademis,Statistika,0
Bakti BCA 2025 Jalur Prestasi Akademis,Aktuaria,0
Bakti BCA 2025 Jalur Prestasi Non Akademis,Fisika,0
Bakti BCA 2025 Jalur Prestasi Non Akademis,Geofisika,0
Bakti BCA 2025 Jalur Prestasi Non Akademis,Elins,0
Bakti BCA 2025 Jalur Prestasi Non Akademis,IlKomp,0
Bakti BCA 2025 Jalur Prestasi Non Akademis,Kimia,1
Bakti BCA 2025 Jalur Prestasi Non Akademis,Matemat,0
Bakti BCA 2025 Jalur Prestasi Non Akademis,Statistika,1
Bakti BCA 2025 Jalur Prestasi Non Akademis,Aktuaria,0
Kartu Indonesia Pintar (KIP) Kuliah Tahun 2025 (non Eligible),Fisika,1
Kartu Indonesia Pintar (KIP) Kuliah Tahun 2025 (non Eligible),Geofisika,5
Kartu Indonesia Pintar (KIP) Kuliah Tahun 2025 (non Eligible),Elins,5
Kartu Indonesia Pintar (KIP) Kuliah Tahun 2025 (non Eligible),IlKomp,0
Kartu Indonesia Pintar (KIP) Kuliah Tahun 2025 (non Eligible),Kimia,11
Kartu Indonesia Pintar (KIP) Kuliah Tahun 2025 (non Eligible),Matemat,1
Kartu Indonesia Pintar (KIP) Kuliah Tahun 2025 (non Eligible),Statistika,2
Kartu Indonesia Pintar (KIP) Kuliah Tahun 2025 (non Eligible),Aktuaria,0
Beasiswa Lanjutan Pemprov Riau 2025,Fisika,0
Beasiswa Lanjutan Pemprov Riau 2025,Geofisika,0
Beasiswa Lanjutan Pemprov Riau 2025,Elins,0
Beasiswa Lanjutan Pemprov Riau 2025,IlKomp,1
Beasiswa Lanjutan Pemprov Riau 2025,Kimia,0
Beasiswa Lanjutan Pemprov Riau 2025,Matemat,0
Beasiswa Lanjutan Pemprov Riau 2025,Statistika,0
Beasiswa Lanjutan Pemprov Riau 2025,Aktuaria,0
Dato Low Tuck Kwong Purnomo Yusgiantoro 2025,Fisika,0
Dato Low Tuck Kwong Purnomo Yusgiantoro 2025,Geofisika,0
Dato Low Tuck Kwong Purnomo Yusgiantoro 2025,Elins,1
Dato Low Tuck Kwong Purnomo Yusgiantoro 2025,IlKomp,0
Dato Low Tuck Kwong Purnomo Yusgiantoro 2025,Kimia,3
Dato Low Tuck Kwong Purnomo Yusgiantoro 2025,Matemat,1
Dato Low Tuck Kwong Purnomo Yusgiantoro 2025,Statistika,1
Dato Low Tuck Kwong Purnomo Yusgiantoro 2025,Aktuaria,0
YBM BRI Brillian,Fisika,1
YBM BRI Brillian,Geofisika,0
YBM BRI Brillian,Elins,0
YBM BRI Brillian,IlKomp,0
YBM BRI Brillian,Kimia,0
YBM BRI Brillian,Matemat,0
YBM BRI Brillian,Statistika,0
YBM BRI Brillian,Aktuaria,1
Dato Low Tuck Kwong Purnomo Yusgiantoro Kategori Tugas Akhir_semester gasal 2025-2026,Fisika,0
Dato Low Tuck Kwong Purnomo Yusgiantoro Kategori Tugas Akhir_semester gasal 2025-2026,Geofisika,0
Dato Low Tuck Kwong Purnomo Yusgiantoro Kategori Tugas Akhir_semester gasal 2025-2026,Elins,0
Dato Low Tuck Kwong Purnomo Yusgiantoro Kategori Tugas Akhir_semester gasal 2025-2026,IlKomp,0
Dato Low Tuck Kwong Purnomo Yusgiantoro Kategori Tugas Akhir_semester gasal 2025-2026,Kimia,1
Dato Low Tuck Kwong Purnomo Yusgiantoro Kategori Tugas Akhir_semester gasal 2025-2026,Matemat,0
Dato Low Tuck Kwong Purnomo Yusgiantoro Kategori Tugas Akhir_semester gasal 2025-2026,Statistika,0
Dato Low Tuck Kwong Purnomo Yusgiantoro Kategori Tugas Akhir_semester gasal 2025-2026,Aktuaria,0
